,utmx,utmy,orix,oriy,goalx,goaly,angle
213,207.65999015624402,187.25124481506646,-0.6873907697101174,-0.7262877733497461,-0.798809772268958,-0.6015836996857673,9.592674891426027
214,206.83384219859727,185.95166736654937,-0.688786558278486,-0.7249641902431305,-0.8019887802881095,-0.5973390965707756,9.78630772818324
215,206.0078846133838,184.64101216150448,-0.6532131835971614,-0.7571740465539354,-0.8052884335986557,-0.5928832420571724,12.853817592274853
216,205.16524034331087,183.70682307332754,-0.6412664290882237,-0.7673182957055292,-0.8067936657369037,-0.5908332936851218,13.897517553585654
217,203.64830391807482,182.749974463135,-0.7138131808148314,-0.700336164206171,-0.8060404814859728,-0.5918604077025774,8.16484091220645
218,201.29875302859,180.87018950656056,-0.7060061589181038,-0.7082056929802987,-0.8068194591839355,-0.5907980706486285,8.875450285933626
219,200.46651892570662,179.92509788647294,-0.726273308689371,-0.6874060525521969,-0.8085303652057503,-0.5884544574903451,7.37771622281505
220,200.46651892570662,179.92509788647294,-0.7615489964675393,-0.6481073414020889,-0.8085303652057503,-0.5884544574903451,4.351646699782679
221,199.62710906367283,178.80258758272976,-0.7486530249155962,-0.6629620262765642,-0.8111678785554168,-0.5848133657842512,5.736360658624861
222,198.62418848092784,177.67726945318282,-0.7036957777951799,-0.7105014090860318,-0.8132705074131864,-0.5818857978778122,9.692436789703155
223,197.79499832593137,176.55493450397626,-0.6303335997863927,-0.776324386439282,-0.8160677816208481,-0.5779562057807044,15.618339723457128
224,197.129319132393,175.4354072799906,-0.5965544822846391,-0.8025725821793976,-0.819526011757951,-0.5730419845457281,18.413846695719233
225,196.12944259223877,174.13284579338506,-0.5993707210678488,-0.8004715727161127,-0.8227905585440694,-0.568344698902645,18.540280803071074
226,193.96960336828488,171.32551619689912,-0.6033871549928782,-0.797448394060456,-0.8301244530559988,-0.5575781491759506,18.9986525894274
227,192.78990990415332,170.37445740681142,-0.6241749233474388,-0.7812846248738156,-0.8310237493480532,-0.5562369351450007,17.582391259595383
228,191.60679246252403,169.62279704911634,-0.6659437564595477,-0.7460019525661757,-0.8307916290808298,-0.5565835687919836,14.42537491895947
229,190.59759555364144,168.86304224422202,-0.7049103464378481,-0.7092964144029441,-0.831281477595201,-0.5558516933563656,11.40830111155027
230,189.25420150981518,167.92025295970961,-0.7419578138886569,-0.6704465693920474,-0.8315475114268035,-0.5554536310439334,8.359575156827137
231,188.0745086100651,166.96919373515993,-0.8042362280089412,-0.5943097589287513,-0.8325402446870589,-0.5539645665350919,2.824015732094926
232,187.58560451175435,165.67540619382635,-0.7422169678393117,-0.6701596620592873,-0.8384756729671212,-0.5449390294724109,9.058891573757636
233,186.58591975225136,164.3617662084289,-0.6904023285683953,-0.7234256179506898,-0.8426018551392459,-0.5385370123918142,13.753932527425746
234,186.10024987228098,162.87965774349868,-0.6008382242733558,-0.7993706451027837,-0.8499182479048341,-0.5269145774016668,21.272824033867717
235,185.44802566902945,161.57198447640985,-0.5142190443820869,-0.8576588916316168,-0.8555939802141534,-0.5176475065344205,27.880148129545965
236,184.61489584876108,160.08390908129513,-0.44897461154255375,-0.8935445138269348,-0.8618310698689382,-0.5071954327560151,32.84488606361742
237,183.44846709849662,158.9557817284949,-0.5242797666308248,-0.8515460799636905,-0.8646735338821367,-0.5023342311686286,28.225677831463436
238,182.44878321010037,157.64214137708768,-0.5242796658752822,-0.8515461419968401,-0.8694514396197109,-0.4940184147814857,28.77519233055793
239,181.27213540946832,156.51383831817657,-0.6042968775446476,-0.7967592382833031,-0.8724964810701018,-0.488620395112903,23.571792906531133
240,180.26921782860882,155.38851864123717,-0.6420789816328735,-0.7666384945626539,-0.8762798451087292,-0.48180248344754467,21.249789450134983
241,179.09257037795032,154.2602153737098,-0.6880822210100908,-0.7256327288165968,-0.8795637135907508,-0.4757811195649188,18.11128805198881
242,177.9133963791537,153.87429324444383,-0.7366452266668949,-0.6762793875528655,-0.877808797917338,-0.47901118389753494,13.93274019439261
243,176.90096714842366,153.30285818688571,-0.7876762720006129,-0.6160893527137249,-0.8779436412133927,-0.4787639949421525,9.42640965426269
244,175.89500623760978,152.35478132404387,-0.7910000341521495,-0.6118161047008313,-0.8808336676993642,-0.47342586520730573,9.464027655589001
